Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,ANL_CODE_3,ANALYTE_3,VALUE_3,UNITS_3,FRACTION_3,METHOD_3,RESULT_REMARK_3,ANL_CODE_4,ANALYTE_4,VALUE_4,UNITS_4,FRACTION_4,METHOD_4,RESULT_REMARK_4,ANL_CODE_5,ANALYTE_5,VALUE_5,UNITS_5,FRACTION_5,METHOD_5,RESULT_REMARK_5,ANL_CODE_6,ANALYTE_6,VALUE_6,UNITS_6,FRACTION_6,METHOD_6,RESULT_REMARK_6,ANL_CODE_7,ANALYTE_7,VALUE_7,UNITS_7,FRACTION_7,METHOD_7,RESULT_REMARK_7,ANL_CODE_8,ANALYTE_8,VALUE_8,UNITS_8,FRACTION_8,METHOD_8,RESULT_REMARK_8,ANL_CODE_9,ANALYTE_9,VALUE_9,UNITS_9,FRACTION_9,METHOD_9,RESULT_REMARK_9,ANL_CODE_10,ANALYTE_10,VALUE_10,UNITS_10,FRACTION_10,METHOD_10,RESULT_REMARK_10,ANL_CODE_11,ANALYTE_11,VALUE_11,UNITS_11,FRACTION_11,METHOD_11,RESULT_REMARK_11,ANL_CODE_12,ANALYTE_12,VALUE_12,UNITS_12,FRACTION_12,METHOD_12,RESULT_REMARK_12,
"306","2011","April    ","Spring","Erie","ER1111-SV","E073M11","ER73","25","41.978","-81.757","2011/04/12 07:21","EDT","12.1","Middle Depth","surface water","INSITU_MEAS","routine field sample","11GC18S63","Cond","Conductivity","273.1","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","-0.001676","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.901","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","9.062","ug/l","Total/Bulk","LG204","","Temp","Temperature","2.2","C","Not applicable","NA","","Turb","Turbidity","0.995","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"307","2011","April    ","Spring","Erie","ER1111-SV","E073M11","ER73","25","41.978","-81.757","2011/04/12 07:21","EDT","4.9","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC18S6A","Temp","Temperature","2.2","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"308","2011","April    ","Spring","Erie","ER1111-SV","E073M11","ER73","25","41.978","-81.757","2011/04/12 07:21","EDT","22.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC18S71","Cond","Conductivity","272.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","-0.0008478","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.896","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","10.471","ug/l","Total/Bulk","LG204","","Temp","Temperature","2.2","C","Not applicable","NA","","Turb","Turbidity","1.02","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"309","2011","April    ","Spring","Erie","ER1111-SV","E036M11","ER36","24","41.935","-81.479","2011/04/12 08:54","EDT","2.1","Surface","surface water","INSITU_MEAS","routine field sample","11GC18S81","Cond","Conductivity","271.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.014","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.748","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.929","ug/l","Total/Bulk","LG204","","Temp","Temperature","2.2","C","Not applicable","NA","","Turb","Turbidity","1.09","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"310","2011","April    ","Spring","Erie","ER1111-SV","E036M11","ER36","24","41.935","-81.479","2011/04/12 08:54","EDT","11.5","Middle Depth","surface water","INSITU_MEAS","routine field sample","11GC18S83","Cond","Conductivity","272.9","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.024","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","6.079","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.57","ug/l","Total/Bulk","LG204","","Temp","Temperature","2.2","C","Not applicable","NA","","Turb","Turbidity","1.1","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"311","2011","April    ","Spring","Erie","ER1111-SV","E036M11","ER36","24","41.935","-81.479","2011/04/12 08:54","EDT","5","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC18S8A","Temp","Temperature","2.2","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"312","2011","April    ","Spring","Erie","ER1111-SV","E036M11","ER36","24","41.935","-81.479","2011/04/12 08:54","EDT","21.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC18S91","Cond","Conductivity","272.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.014","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.651","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.851","ug/l","Total/Bulk","LG204","","Temp","Temperature","2.2","C","Not applicable","NA","","Turb","Turbidity","1.27","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"313","2011","April    ","Spring","Erie","ER1111-SV","E037M11","ER37","25","42.11","-81.575","2011/04/12 10:21","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC19I12","NO2+NO3","Nitrogen, Total Oxidized","0.026","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.436","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.505","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"314","2011","April    ","Spring","Erie","ER1111-SV","E038M11","ER38","22.5","42.281","-81.672","2011/04/12 11:54","EDT","0","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC19I32","NO2+NO3","Nitrogen, Total Oxidized","0.006409","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","6.776","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.886","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.9","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"315","2011","April    ","Spring","Erie","ER1111-SV","E078M11","ER78M","23.8","42.117","-81.25","2011/04/12 14:19","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC19I52","NO2+NO3","Nitrogen, Total Oxidized","0.036","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.205","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.971","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"316","2011","April    ","Spring","Erie","ER1111-SV","E032M11","ER32","22.3","42.082","-81.011","2011/04/12 16:04","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC19I72","NO2+NO3","Nitrogen, Total Oxidized","0.043","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.035","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","21.248","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"317","2011","April    ","Spring","Erie","ER1111-SV","E031M11","ER31","22.9","42.253","-81.106","2011/04/12 17:29","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC19I92","NO2+NO3","Nitrogen, Total Oxidized","0.004886","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","7.25","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.335","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"318","2011","April    ","Spring","Erie","ER1111-SV","E037M11","ER37","25","42.11","-81.575","2011/04/12 10:21","EDT","2.1","Surface","surface water","INSITU_MEAS","routine field sample","11GC19S01","Cond","Conductivity","272.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.026","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.854","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.856","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.7","C","Not applicable","NA","","Turb","Turbidity","1.66","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"319","2011","April    ","Spring","Erie","ER1111-SV","E037M11","ER37","25","42.11","-81.575","2011/04/12 10:21","EDT","11.4","Middle Depth","surface water","INSITU_MEAS","routine field sample","11GC19S03","Cond","Conductivity","272.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.026","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","6.352","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.955","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.7","C","Not applicable","NA","","Turb","Turbidity","1.74","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"320","2011","April    ","Spring","Erie","ER1111-SV","E037M11","ER37","25","42.11","-81.575","2011/04/12 10:21","EDT","5","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC19S0A","Temp","Temperature","1.7","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"321","2011","April    ","Spring","Erie","ER1111-SV","E037M11","ER37","25","42.11","-81.575","2011/04/12 10:21","EDT","22.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC19S11","Cond","Conductivity","272.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.026","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","6.65","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","15.419","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.7","C","Not applicable","NA","","Turb","Turbidity","1.62","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"322","2011","April    ","Spring","Erie","ER1111-SV","E038M11","ER38","22.5","42.281","-81.672","2011/04/12 11:54","EDT","20.9","Surface","surface water","INSITU_MEAS","routine field sample","11GC19S21","Cond","Conductivity","272.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.002518","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.517","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","13.481","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.2","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"323","2011","April    ","Spring","Erie","ER1111-SV","E038M11","ER38","22.5","42.281","-81.672","2011/04/12 11:54","EDT","10.6","Middle Depth","surface water","INSITU_MEAS","routine field sample","11GC19S23","Cond","Conductivity","272.3","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.002363","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","6.172","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.199","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.28","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"324","2011","April    ","Spring","Erie","ER1111-SV","E038M11","ER38","22.5","42.281","-81.672","2011/04/12 11:54","EDT","10.6","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC19S2A","Temp","Temperature","1.8","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"325","2011","April    ","Spring","Erie","ER1111-SV","E038M11","ER38","22.5","42.281","-81.672","2011/04/12 11:54","EDT","20.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC19S31","Cond","Conductivity","273.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.003072","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","6.524","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","15.169","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.69","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"326","2011","April    ","Spring","Erie","ER1111-SV","E078M11","ER78M","23.8","42.117","-81.25","2011/04/12 14:19","EDT","1.7","Surface","surface water","INSITU_MEAS","routine field sample","11GC19S41","Cond","Conductivity","275.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.036","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.943","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.368","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.27","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"327","2011","April    ","Spring","Erie","ER1111-SV","E078M11","ER78M","23.8","42.117","-81.25","2011/04/12 14:19","EDT","4.9","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC19S42","Cond","Conductivity","275.4","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.035","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.611","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","10.674","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","0.911","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"328","2011","April    ","Spring","Erie","ER1111-SV","E078M11","ER78M","23.8","42.117","-81.25","2011/04/12 14:19","EDT","10.3","Ten Meter","surface water","INSITU_MEAS","routine field sample","11GC19S43","Cond","Conductivity","275.2","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.035","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.362","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","8.949","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","0.756","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"329","2011","April    ","Spring","Erie","ER1111-SV","E078M11","ER78M","23.8","42.117","-81.25","2011/04/12 14:19","EDT","21.9","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC19S51","Cond","Conductivity","274.5","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.036","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.112","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","11.175","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","0.926","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"330","2011","April    ","Spring","Erie","ER1111-SV","E032M11","ER32","22.3","42.082","-81.011","2011/04/12 16:04","EDT","1.7","Surface","surface water","INSITU_MEAS","routine field sample","11GC19S61","Cond","Conductivity","270.4","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.044","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.325","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.971","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.9","C","Not applicable","NA","","Turb","Turbidity","2.1","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"331","2011","April    ","Spring","Erie","ER1111-SV","E032M11","ER32","22.3","42.082","-81.011","2011/04/12 16:04","EDT","11.3","Middle Depth","surface water","INSITU_MEAS","routine field sample","11GC19S63","Cond","Conductivity","271","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.045","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.67","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","18.647","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.85","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"332","2011","April    ","Spring","Erie","ER1111-SV","E032M11","ER32","22.3","42.082","-81.011","2011/04/12 16:04","EDT","4.8","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC19S6A","Temp","Temperature","1.8","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"333","2011","April    ","Spring","Erie","ER1111-SV","E032M11","ER32","22.3","42.082","-81.011","2011/04/12 16:04","EDT","21","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC19S71","Cond","Conductivity","270.3","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.042","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.551","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.914","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.91","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"334","2011","April    ","Spring","Erie","ER1111-SV","E031M11","ER31","22.9","42.253","-81.106","2011/04/12 17:29","EDT","1.9","Surface","surface water","INSITU_MEAS","routine field sample","11GC19S81","Cond","Conductivity","274.9","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.00614","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","7.511","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","15.147","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","0.952","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"335","2011","April    ","Spring","Erie","ER1111-SV","E031M11","ER31","22.9","42.253","-81.106","2011/04/12 17:29","EDT","11","Middle Depth","surface water","INSITU_MEAS","routine field sample","11GC19S83","Cond","Conductivity","275.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.00549","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","7.618","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","14.978","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.4","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"336","2011","April    ","Spring","Erie","ER1111-SV","E031M11","ER31","22.9","42.253","-81.106","2011/04/12 17:29","EDT","4.9","Five Meter","surface water","INSITU_MEAS","routine field sample","11GC19S8A","Temp","Temperature","1.8","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"337","2011","April    ","Spring","Erie","ER1111-SV","E031M11","ER31","22.9","42.253","-81.106","2011/04/12 17:29","EDT","20.7","Bottom Minus","surface water","INSITU_MEAS","routine field sample","11GC19S91","Cond","Conductivity","275.6","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.005459","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","7.102","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","16.605","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.8","C","Not applicable","NA","","Turb","Turbidity","1.45","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"338","2011","April    ","Spring","Erie","ER1111-SV","E0FOM11","ERFO","32.1","42.417","-79.584","2011/04/13 04:49","EDT","21.2","Bottom Minus 10","surface water","INSITU_MEAS","lab duplicate","11GC20C70","NO2+NO3","Nitrogen, Total Oxidized","0.099","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","2.56","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","7.239","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.6","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"339","2011","April    ","Spring","Erie","ER1111-SV","E030M11","ER30","20.9","42.43","-81.205","2011/04/12 18:54","EDT","9.5","Middle Depth","surface water","INSITU_MEAS","field duplicate","11GC20D03","Cond","Conductivity","272.8","umho/cm","Total/Bulk","LG500","","NO2+NO3","Nitrogen, Total Oxidized","0.006746","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","5.42","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","17.36","ug/l","Total/Bulk","LG204","","Temp","Temperature","2.0","C","Not applicable","NA","","Turb","Turbidity","1.7","NTU","Total/Bulk","LG500","Field Duplicate, failed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"340","2011","April    ","Spring","Erie","ER1111-SV","E030M11","ER30","20.9","42.43","-81.205","2011/04/12 18:54","EDT","0","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC20I12","NO2+NO3","Nitrogen, Total Oxidized","0.006942","mg/l","Filtrate","LG203","Method Detection Limit, less than","P-tot","Phosphorus, Total as P","4.69","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","17.642","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"341","2011","April    ","Spring","Erie","ER1111-SV","E015M11","ER15M","46.7","42.516","-79.892","2011/04/13 02:33","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC20I32","NO2+NO3","Nitrogen, Total Oxidized","0.168","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.386","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","6.094","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"342","2011","April    ","Spring","Erie","ER1111-SV","E063M11","ER63","46.7","42.417","-79.801","2011/04/13 01:08","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC20I52","NO2+NO3","Nitrogen, Total Oxidized","0.162","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","6.087","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","8.377","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"343","2011","April    ","Spring","Erie","ER1111-SV","E0FOM11","ERFO","32.1","42.417","-79.584","2011/04/13 04:49","EDT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC20I72","NO2+NO3","Nitrogen, Total Oxidized","0.1","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","2.621","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","7.414","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"344","2011","April    ","Spring","Erie","ER1111-SV","E009M11","ER09","49.2","42.538","-79.617","2011/04/13 05:55","EDT","0","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","11GC20I92","NO2+NO3","Nitrogen, Total Oxidized","0.15","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","5.926","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","7.081","ug/l","Total/Bulk","LG204","","Temp","Temperature","1.0","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"345","2011","April    ","Spring","Erie","ER1111-SV","E063M11","ER63","46.7","42.417","-79.801","2011/04/13 01:08","EDT","","Synthetic Sample","surface water","INSITU_MEAS","field blank","11GC20R40","Cond","Conductivity","11.55","umho/cm","Total/Bulk","LG500","Field Reagent Blank, failed","NO2+NO3","Nitrogen, Total Oxidized","-0.0005585","mg/l","Filtrate","LG203","","P-tot","Phosphorus, Total as P","0.352","ug/l","Filtrate","LG204","","P-tot","Phosphorus, Total as P","-0.775","ug/l","Total/Bulk","LG204","","Temp","Temperature","No result reported.","C","Not applicable","NA","","Turb","Turbidity","0.054","NTU","Total/Bulk","LG500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
